COUNTY    , PRCTSEQ, PRECINCT                 , BALSEQID, JURISID, SECJURISID, OFFICENAME                                       , ELECTDATE , ELECTTYPE    , COL1HDG, RNAME1                                                                    , PARTY1    , PVTALLY1, COL2HDG, RNAME2                                                                     , PARTY2     , PVTALLY2, COL3HDG, RNAME3                                                                    , PARTY3     , PVTALLY3, COL4HDG, RNAME4                                                                            , PARTY4     , PVTALLY4, COL5HDG, RNAME5                                                                        , PARTY5     , PVTALLY5, COL6HDG, RNAME6                                                                                 , PARTY6     , PVTALLY6, COL7HDG, RNAME7                                                                             , PARTY7     , PVTALLY7, COL8HDG, RNAME8, PARTY8, PVTALLY8, COL9HDG, RNAME9, PARTY9, PVTALLY9, COL10HDG, RNAME10, PARTY10, PVTALLY10
Anderson  ,    0003, Briceville               ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,      338,       2, Jack Allen                                                                 , Democratic ,       38,       3, Jean Howard-Hill                                                          , Independent,        4,       4, "Stephen ""Scooter"" King"                                                        , Independent,        4,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0003, Briceville               ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,      243,       2, Anne Backus                                                                , Democratic ,       29,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0003, Briceville               ,     0017,      41,          0, Tennessee House of Representatives District 41   , 2024-11-05, State General,       1, Ed Butler                                                                 , Republican,      106,       2, Joel Derek Hawn                                                            , Democratic ,       12,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0004, Brushy Valley            ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,      695,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,      146,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        2,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        1,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        0,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,        3,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        0,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0004, Brushy Valley            ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,      670,       2, Gloria Johnson                                                             , Democratic ,      151,       3, Tharon Chandler                                                           , Independent,        8,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,        4,       5, Hastina Robinson                                                              , Independent,        1,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0004, Brushy Valley            ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,      679,       2, Jack Allen                                                                 , Democratic ,      125,       3, Jean Howard-Hill                                                          , Independent,        5,       4, "Stephen ""Scooter"" King"                                                        , Independent,       11,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0004, Brushy Valley            ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,      689,       2, Anne Backus                                                                , Democratic ,      127,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0005, Claxton                  ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,     1183,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,      403,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        3,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        0,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        1,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,        8,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        3,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0005, Claxton                  ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,     1123,       2, Gloria Johnson                                                             , Democratic ,      419,       3, Tharon Chandler                                                           , Independent,       17,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,       20,       5, Hastina Robinson                                                              , Independent,        4,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0005, Claxton                  ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,     1161,       2, Jack Allen                                                                 , Democratic ,      355,       3, Jean Howard-Hill                                                          , Independent,       23,       4, "Stephen ""Scooter"" King"                                                        , Independent,       24,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0005, Claxton                  ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,     1193,       2, Anne Backus                                                                , Democratic ,      365,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0006, Clinton                  ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,     1646,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,      694,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        9,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        0,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        1,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,       10,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        3,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0006, Clinton                  ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,     1578,       2, Gloria Johnson                                                             , Democratic ,      712,       3, Tharon Chandler                                                           , Independent,       21,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,        9,       5, Hastina Robinson                                                              , Independent,        5,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0006, Clinton                  ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,     1622,       2, Jack Allen                                                                 , Democratic ,      604,       3, Jean Howard-Hill                                                          , Independent,       27,       4, "Stephen ""Scooter"" King"                                                        , Independent,       27,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0006, Clinton                  ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,     1714,       2, Anne Backus                                                                , Democratic ,      560,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0007, Clinton High             ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,      803,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,      274,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        3,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        0,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        1,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,        6,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        1,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0007, Clinton High             ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,      783,       2, Gloria Johnson                                                             , Democratic ,      266,       3, Tharon Chandler                                                           , Independent,       11,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,        8,       5, Hastina Robinson                                                              , Independent,        2,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0007, Clinton High             ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,      806,       2, Jack Allen                                                                 , Democratic ,      229,       3, Jean Howard-Hill                                                          , Independent,       11,       4, "Stephen ""Scooter"" King"                                                        , Independent,       16,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0007, Clinton High             ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,      798,       2, Anne Backus                                                                , Democratic ,      238,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0008, Clinton Middle           ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,      692,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,      156,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        0,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        1,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        0,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,        2,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        0,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0008, Clinton Middle           ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,      659,       2, Gloria Johnson                                                             , Democratic ,      159,       3, Tharon Chandler                                                           , Independent,        6,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,        7,       5, Hastina Robinson                                                              , Independent,        2,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0008, Clinton Middle           ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,      652,       2, Jack Allen                                                                 , Democratic ,      142,       3, Jean Howard-Hill                                                          , Independent,       10,       4, "Stephen ""Scooter"" King"                                                        , Independent,       12,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0008, Clinton Middle           ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,      652,       2, Anne Backus                                                                , Democratic ,      155,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0009, Dutch Valley             ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,      374,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,       67,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        1,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        0,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        1,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,        3,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        0,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0009, Dutch Valley             ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,      360,       2, Gloria Johnson                                                             , Democratic ,       71,       3, Tharon Chandler                                                           , Independent,        6,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,        3,       5, Hastina Robinson                                                              , Independent,        0,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0009, Dutch Valley             ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,      367,       2, Jack Allen                                                                 , Democratic ,       54,       3, Jean Howard-Hill                                                          , Independent,        3,       4, "Stephen ""Scooter"" King"                                                        , Independent,        7,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0009, Dutch Valley             ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,      370,       2, Anne Backus                                                                , Democratic ,       57,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0010, Emory Valley             ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,      928,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,     1049,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        8,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        1,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        1,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,       15,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        6,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0010, Emory Valley             ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,      929,       2, Gloria Johnson                                                             , Democratic ,     1018,       3, Tharon Chandler                                                           , Independent,       19,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,       18,       5, Hastina Robinson                                                              , Independent,        7,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0010, Emory Valley             ,     0011,       3,          0, United States House of Representatives District 3, 2024-11-05, State General,       1, Chuck Fleischmann                                                         , Republican,     1025,       2, Jack Allen                                                                 , Democratic ,      901,       3, Jean Howard-Hill                                                          , Independent,       20,       4, "Stephen ""Scooter"" King"                                                        , Independent,       30,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0010, Emory Valley             ,     0017,      33,          0, Tennessee House of Representatives District 33   , 2024-11-05, State General,       1, Rick Scarbrough                                                           , Republican,      975,       2, Anne Backus                                                                , Democratic ,      985,        ,                                                                           ,            ,         ,        ,                                                                                   ,            ,         ,        ,                                                                               ,            ,         ,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0011, Fairview                 ,     0003,       0,          0, President and Vice President of the United States, 2024-11-05, State General,       1, Electors for Donald J. Trump for President and JD Vance for Vice President, Republican,      763,       2, Electors for Kamala D. Harris for President and Tim Walz for Vice President, Democratic ,      122,       3, Electors for Jay J Bowman for President and De D Bowman for Vice President, Independent,        0,       4, Electors for Claudia De la Cruz for President and Karina Garcia for Vice President, Independent,        0,       5, Electors for Rachele Fruit for President and Dennis Richter for Vice President, Independent,        1,       6, Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President, Independent,        3,       7, Electors for Jill Stein for President and Samson LeBeau Kpadenou for Vice President, Independent,        0,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
Anderson  ,    0011, Fairview                 ,     0007,       0,          0, United States Senate                             , 2024-11-05, State General,       1, Marsha Blackburn                                                          , Republican,      736,       2, Gloria Johnson                                                             , Democratic ,      133,       3, Tharon Chandler                                                           , Independent,        7,       4, "Pamela Jeanine ""P."" Moses"                                                     , Independent,        3,       5, Hastina Robinson                                                              , Independent,        0,        ,                                                                                        ,            ,         ,        ,                                                                                    ,            ,         ,        ,       ,       ,         ,        ,       ,       ,         ,         ,        ,        , 
