COUNTY    , Prct Seq, PRECINCT            , Office Seq, OfficeID, District, Candidate Group, OFFICENAME                                 , ELECTDATE         , ELECTTYPE       , COL1, BNAME1                        , TALLY1, COL2, BNAME2                          , TALLY2, COL3, BNAME3                     , TALLY3, COL4, BNAME4                               , TALLY4, COL5, BNAME5                    , TALLY5, COL6, BNAME6                     , TALLY6, COL7, BNAME7                   , TALLY7, COL8, BNAME8           , TALLY8, COL9, BNAME9                , TALLY9, COL10, BNAME10, TALLY10
ANDERSON  ,     0003, Blockhouse Valley   ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,     49,    2, Zach Wamp - (R)                 ,    263,    3, Ed Choate - (I)            ,      4,    4, Jean Howard-Hill - (I)               ,      4,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0003, Blockhouse Valley   ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    177,    2, Alex Moseley - (R)              ,    141,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0004, Clinton             ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    694,    2, John McCain - (R)               ,   1466,    3, Chuck Baldwin - (I)        ,      3,    4, Bob Barr - (I)                       ,      8,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      2,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),     12,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0004, Clinton             ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    464,    2, Lamar Alexander - (R)           ,   1552,    3, Edward L. Buck - (I)       ,     19,    4, Christopher G. Fenner - (I)          ,      3,    5, David Gatchell - (I)      ,      2,    6, Ed Lawhorn - (I)           ,     20,    7, Daniel Towers Lewis - (I),      3,    8, Chris Lugo - (I) ,      3,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0004, Clinton             ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    425,    2, Zach Wamp - (R)                 ,   1595,    3, Ed Choate - (I)            ,     29,    4, Jean Howard-Hill - (I)               ,     30,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0004, Clinton             ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,   1296,    2, Alex Moseley - (R)              ,    755,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0005, Clinton High        ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    313,    2, John McCain - (R)               ,    722,    3, Chuck Baldwin - (I)        ,      9,    4, Bob Barr - (I)                       ,      5,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      2,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      4,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0005, Clinton High        ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    212,    2, Lamar Alexander - (R)           ,    754,    3, Edward L. Buck - (I)       ,      8,    4, Christopher G. Fenner - (I)          ,      5,    5, David Gatchell - (I)      ,      2,    6, Ed Lawhorn - (I)           ,      8,    7, Daniel Towers Lewis - (I),      8,    8, Chris Lugo - (I) ,      2,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0005, Clinton High        ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    223,    2, Zach Wamp - (R)                 ,    756,    3, Ed Choate - (I)            ,     10,    4, Jean Howard-Hill - (I)               ,     14,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0005, Clinton High        ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    615,    2, Alex Moseley - (R)              ,    394,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0006, Claxton             ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    839,    2, John McCain - (R)               ,   2063,    3, Chuck Baldwin - (I)        ,     13,    4, Bob Barr - (I)                       ,     18,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      2,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),     14,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0006, Claxton             ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    610,    2, Lamar Alexander - (R)           ,   2117,    3, Edward L. Buck - (I)       ,     42,    4, Christopher G. Fenner - (I)          ,     16,    5, David Gatchell - (I)      ,     12,    6, Ed Lawhorn - (I)           ,     14,    7, Daniel Towers Lewis - (I),     14,    8, Chris Lugo - (I) ,      8,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0006, Claxton             ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    615,    2, Zach Wamp - (R)                 ,   2076,    3, Ed Choate - (I)            ,     66,    4, Jean Howard-Hill - (I)               ,     58,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0006, Claxton             ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,   1591,    2, Alex Moseley - (R)              ,   1202,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0007, Clinton Middle      ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    182,    2, John McCain - (R)               ,    466,    3, Chuck Baldwin - (I)        ,      2,    4, Bob Barr - (I)                       ,      2,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      3,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0007, Clinton Middle      ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    138,    2, Lamar Alexander - (R)           ,    460,    3, Edward L. Buck - (I)       ,      5,    4, Christopher G. Fenner - (I)          ,      3,    5, David Gatchell - (I)      ,      2,    6, Ed Lawhorn - (I)           ,      4,    7, Daniel Towers Lewis - (I),      1,    8, Chris Lugo - (I) ,      1,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0007, Clinton Middle      ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    137,    2, Zach Wamp - (R)                 ,    464,    3, Ed Choate - (I)            ,     14,    4, Jean Howard-Hill - (I)               ,      4,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0007, Clinton Middle      ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    370,    2, Alex Moseley - (R)              ,    247,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0008, Clinch Valley       ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    356,    2, John McCain - (R)               ,    952,    3, Chuck Baldwin - (I)        ,      6,    4, Bob Barr - (I)                       ,      3,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      1,    8, Ralph Nader - (I),      9,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0008, Clinch Valley       ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    265,    2, Lamar Alexander - (R)           ,    968,    3, Edward L. Buck - (I)       ,     13,    4, Christopher G. Fenner - (I)          ,      0,    5, David Gatchell - (I)      ,      6,    6, Ed Lawhorn - (I)           ,      5,    7, Daniel Towers Lewis - (I),      4,    8, Chris Lugo - (I) ,      3,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0008, Clinch Valley       ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    263,    2, Zach Wamp - (R)                 ,    958,    3, Ed Choate - (I)            ,     21,    4, Jean Howard-Hill - (I)               ,     21,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0008, Clinch Valley       ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    696,    2, Alex Moseley - (R)              ,    543,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0009, Dutch Valley        ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    224,    2, John McCain - (R)               ,    631,    3, Chuck Baldwin - (I)        ,      2,    4, Bob Barr - (I)                       ,      3,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      5,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0009, Dutch Valley        ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    147,    2, Lamar Alexander - (R)           ,    650,    3, Edward L. Buck - (I)       ,      9,    4, Christopher G. Fenner - (I)          ,      4,    5, David Gatchell - (I)      ,      2,    6, Ed Lawhorn - (I)           ,      3,    7, Daniel Towers Lewis - (I),      1,    8, Chris Lugo - (I) ,      2,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0009, Dutch Valley        ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    152,    2, Zach Wamp - (R)                 ,    657,    3, Ed Choate - (I)            ,      8,    4, Jean Howard-Hill - (I)               ,     10,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0009, Dutch Valley        ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    525,    2, Alex Moseley - (R)              ,    314,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0010, Emory Valley        ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    887,    2, John McCain - (R)               ,   1099,    3, Chuck Baldwin - (I)        ,      1,    4, Bob Barr - (I)                       ,     10,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      1,    8, Ralph Nader - (I),      5,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0010, Emory Valley        ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    512,    2, Lamar Alexander - (R)           ,   1383,    3, Edward L. Buck - (I)       ,     12,    4, Christopher G. Fenner - (I)          ,      4,    5, David Gatchell - (I)      ,      3,    6, Ed Lawhorn - (I)           ,      5,    7, Daniel Towers Lewis - (I),      5,    8, Chris Lugo - (I) ,      2,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0010, Emory Valley        ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    448,    2, Zach Wamp - (R)                 ,   1422,    3, Ed Choate - (I)            ,     23,    4, Jean Howard-Hill - (I)               ,     19,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0010, Emory Valley        ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,   1098,    2, Alex Moseley - (R)              ,    750,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0011, Fairview            ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    322,    2, John McCain - (R)               ,    790,    3, Chuck Baldwin - (I)        ,     11,    4, Bob Barr - (I)                       ,      4,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      2,    7, Brian Moore - (I)        ,      1,    8, Ralph Nader - (I),      7,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0011, Fairview            ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    218,    2, Lamar Alexander - (R)           ,    806,    3, Edward L. Buck - (I)       ,     20,    4, Christopher G. Fenner - (I)          ,      1,    5, David Gatchell - (I)      ,      3,    6, Ed Lawhorn - (I)           ,      4,    7, Daniel Towers Lewis - (I),      2,    8, Chris Lugo - (I) ,      4,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0011, Fairview            ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    233,    2, Zach Wamp - (R)                 ,    772,    3, Ed Choate - (I)            ,     24,    4, Jean Howard-Hill - (I)               ,     20,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0011, Fairview            ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    620,    2, Alex Moseley - (R)              ,    426,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0012, Glen Alpine         ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    163,    2, John McCain - (R)               ,    371,    3, Chuck Baldwin - (I)        ,      2,    4, Bob Barr - (I)                       ,      0,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      1,    8, Ralph Nader - (I),      5,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0012, Glen Alpine         ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    130,    2, Lamar Alexander - (R)           ,    377,    3, Edward L. Buck - (I)       ,      4,    4, Christopher G. Fenner - (I)          ,      1,    5, David Gatchell - (I)      ,      1,    6, Ed Lawhorn - (I)           ,      3,    7, Daniel Towers Lewis - (I),      2,    8, Chris Lugo - (I) ,      1,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0012, Glen Alpine         ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    111,    2, Zach Wamp - (R)                 ,    381,    3, Ed Choate - (I)            ,     13,    4, Jean Howard-Hill - (I)               ,      5,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0012, Glen Alpine         ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    323,    2, Alex Moseley - (R)              ,    187,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0013, Glenwood            ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    737,    2, John McCain - (R)               ,    901,    3, Chuck Baldwin - (I)        ,      8,    4, Bob Barr - (I)                       ,     10,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),     10,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0013, Glenwood            ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    512,    2, Lamar Alexander - (R)           ,   1024,    3, Edward L. Buck - (I)       ,     17,    4, Christopher G. Fenner - (I)          ,      4,    5, David Gatchell - (I)      ,      1,    6, Ed Lawhorn - (I)           ,      6,    7, Daniel Towers Lewis - (I),      5,    8, Chris Lugo - (I) ,     11,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0013, Glenwood            ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    482,    2, Zach Wamp - (R)                 ,   1047,    3, Ed Choate - (I)            ,     31,    4, Jean Howard-Hill - (I)               ,     28,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0013, Glenwood            ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    958,    2, Alex Moseley - (R)              ,    590,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0014, Hendrix Creek       ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    688,    2, John McCain - (R)               ,    925,    3, Chuck Baldwin - (I)        ,      0,    4, Bob Barr - (I)                       ,     17,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      1,    7, Brian Moore - (I)        ,      0,    8, Ralph Nader - (I),      4,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0014, Hendrix Creek       ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    400,    2, Lamar Alexander - (R)           ,   1126,    3, Edward L. Buck - (I)       ,     12,    4, Christopher G. Fenner - (I)          ,      2,    5, David Gatchell - (I)      ,      5,    6, Ed Lawhorn - (I)           ,      3,    7, Daniel Towers Lewis - (I),      9,    8, Chris Lugo - (I) ,      7,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0014, Hendrix Creek       ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    349,    2, Zach Wamp - (R)                 ,   1186,    3, Ed Choate - (I)            ,     16,    4, Jean Howard-Hill - (I)               ,     19,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0014, Hendrix Creek       ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    860,    2, Alex Moseley - (R)              ,    660,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0015, Highland View       ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    503,    2, John McCain - (R)               ,    474,    3, Chuck Baldwin - (I)        ,      6,    4, Bob Barr - (I)                       ,      3,    5, Charles Jay - (I)         ,      0,    6, Cynthia McKinney - (I)     ,      3,    7, Brian Moore - (I)        ,      1,    8, Ralph Nader - (I),      8,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0015, Highland View       ,          2, USS     ,         ,               1, United States Senate                       , "November 4, 2008", General Election,    1, Robert D. Tuke - (D)          ,    335,    2, Lamar Alexander - (R)           ,    579,    3, Edward L. Buck - (I)       ,     14,    4, Christopher G. Fenner - (I)          ,      7,    5, David Gatchell - (I)      ,      3,    6, Ed Lawhorn - (I)           ,      4,    7, Daniel Towers Lewis - (I),      5,    8, Chris Lugo - (I) ,      6,    9, Write-In - Casey Gouge,      0,      ,        ,       0
ANDERSON  ,     0015, Highland View       ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 4, 2008", General Election,    1, Doug Vandagriff - (D)         ,    347,    2, Zach Wamp - (R)                 ,    562,    3, Ed Choate - (I)            ,     25,    4, Jean Howard-Hill - (I)               ,     21,    5, Write-In - June Griffin   ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0015, Highland View       ,          5, TH      ,       33,               1, Tennessee House of Representatives District, "November 4, 2008", General Election,    1, Jim Hackworth - (D)           ,    618,    2, Alex Moseley - (R)              ,    313,     ,                            ,      0,     ,                                      ,      0,     ,                           ,      0,     ,                            ,      0,     ,                          ,      0,     ,                  ,      0,     ,                       ,      0,      ,        ,       0
ANDERSON  ,     0016, Lake City           ,          1, PRES    ,         ,               1, United States President                    , "November 4, 2008", General Election,    1, Barack Obama - (D)            ,    165,    2, John McCain - (R)               ,    270,    3, Chuck Baldwin - (I)        ,      1,    4, Bob Barr - (I)                       ,      0,    5, Charles Jay - (I)         ,      1,    6, Cynthia McKinney - (I)     ,      0,    7, Brian Moore - (I)        ,      1,    8, Ralph Nader - (I),      4,     ,                       ,      0,      ,        ,       0
